YDL246C	SOR2	chrIV:8683-9756
YKL179C	COY1	chrXI:110464-112503
YKL047W	ANR2	chrXI:349463-351013
YKL049C	CSE4	chrXI:346075-346764
YKL220C	FRE2	chrXI:9091-11226
YKL183W	LOT5	chrXI:98721-99641
YKL181W	PRS1	chrXI:107316-108599
YKL088W	CAB3	chrXI:275283-276998
YKL209C	STE6	chrXI:42423-46295
tL(CAA)K	tL(CAA)K	chrXI:458557-458670
YKR019C	IRS4	chrXI:476216-478063
YKR012C	YKR012C	chrXI:463739-464116
YKL166C	TPK3	chrXI:134509-135705
YKL016C	ATP7	chrXI:407465-407989
YKR086W	PRP16	chrXI:599857-603072
tR(ACG)K	tR(ACG)K	chrXI:490968-491040
YKL141W	SDH3	chrXI:179667-180263
YKL065C	YET1	chrXI:316437-317057
YKL013C	ARC19	chrXI:417508-418023
YKL040C	NFU1	chrXI:361058-361828
YKR061W	KTR2	chrXI:557677-558954
YKL096W	CWP1	chrXI:261132-261851
YKR050W	TRK2	chrXI:527815-530484
YKL170W	MRPL38	chrXI:130634-131050
YKR046C	PET10	chrXI:524223-525074
YKL210W	UBA1	chrXI:39163-42237
YKR002W	PAP1	chrXI:443232-444938
YKL015W	PUT3	chrXI:408544-411483
snR87	snR87	chrXI:431030-431138
YKL009W	MRT4	chrXI:426242-426952
YKL108W	SLD2	chrXI:234426-235787
YKR097W	PCK1	chrXI:631152-632801
YKL071W	YKL071W	chrXI:305114-305884
YKL075C	YKL075C	chrXI:292956-294308
YKL206C	ADD66	chrXI:49006-49809
tD(GUC)K	tD(GUC)K	chrXI:513332-513403
YKL195W	MIA40	chrXI:75821-77032
YKL130C	SHE2	chrXI:195288-196028
YKL064W	MNR2	chrXI:317764-320673
YKR026C	GCN3	chrXI:488738-489655
YKL076C	PSY1	chrXI:292838-293221
YKL188C	PXA2	chrXI:86225-88786
YKL196C	YKT6	chrXI:74932-75534
snR42	snR42	chrXI:559016-559366
YKR105C	VBA5	chrXI:658716-660464
YKL109W	HAP4	chrXI:232227-233891
YKR071C	DRE2	chrXI:574934-575980
YKL168C	KKQ8	chrXI:131288-133462
YKL102C	YKL102C	chrXI:248062-248367
YKR090W	PXL1	chrXI:608946-611066
YKR036C	CAF4	chrXI:508702-510633
YKL202W	YKL202W	chrXI:63821-64402
YKR084C	HBS1	chrXI:597055-598890
YKL216W	URA1	chrXI:25215-26159
YKR055W	RHO4	chrXI:548216-549091
YKL219W	COS9	chrXI:14485-15708
YKL020C	SPT23	chrXI:398832-402080
YKL178C	STE3	chrXI:113215-114627
YKL067W	YNK1	chrXI:314812-315273
YKL097C	YKL097C	chrXI:258503-258913
YKL095W	YJU2	chrXI:262277-263113
YKR031C	SPO14	chrXI:501344-506395
YKL036C	YKL036C	chrXI:369528-369920
YKR088C	TVP38	chrXI:604405-605418
YKL151C	NNR2	chrXI:164917-165930
YKL105C	SEG2	chrXI:239185-242583
YKL169C	YKL169C	chrXI:130685-131068
YKL150W	MCR1	chrXI:166544-167452
YKL023C-A	YKL023C-A	chrXI:393146-393373
YKL138C-A	HSK3	chrXI:184803-185012
YKL082C	RRP14	chrXI:281025-282329
YKR070W	YKR070W	chrXI:573574-574632
YKR021W	ALY1	chrXI:479234-481981
YKR016W	YKR016W	chrXI:469717-471339
YKR033C	YKR033C	chrXI:506879-507304
YKR059W	TIF1	chrXI:554987-556174
YKR069W	MET1	chrXI:571612-573393
YKR053C	YSR3	chrXI:534067-535281
YKL218C	SRY1	chrXI:17359-18339
YKL167C	MRP49	chrXI:133721-134134
tE(UUC)K	tE(UUC)K	chrXI:141018-141089
YKL142W	MRP8	chrXI:178515-179174
YKL011C	CCE1	chrXI:420155-421216
YKL160W	ELF1	chrXI:153269-153706
YKL144C	RPC25	chrXI:175843-176481
YKL055C	OAR1	chrXI:335321-336157
YKR043C	SHB17	chrXI:520897-521712
YKR039W	GAP1	chrXI:515063-516871
YKL019W	RAM2	chrXI:402568-403518
YKL184W	SPE1	chrXI:96757-98157
YKR029C	SET3	chrXI:497578-499833
YKL176C	LST4	chrXI:115500-117986
YKL033W-A	YKL033W-A	chrXI:374505-375215
YKL090W	CUE2	chrXI:271878-273209
YKR041W	YKR041W	chrXI:518198-518950
YKL010C	UFD4	chrXI:421424-425875
YKL032C	IXR1	chrXI:380065-381858
YKR051W	YKR051W	chrXI:530946-532202
YKR098C	UBP11	chrXI:633026-635179
YKL175W	ZRT3	chrXI:118793-120304
YKL120W	OAC1	chrXI:217344-218318
YKL222C	YKL222C	chrXI:3503-5620
YKL092C	BUD2	chrXI:266145-269459
YKL068W	NUP100	chrXI:310199-313078
YKR009C	FOX2	chrXI:454352-457054
tA(AGC)K2	tA(AGC)K2	chrXI:517988-518060
YKR028W	SAP190	chrXI:494257-497358
YKR076W	ECM4	chrXI:582283-583395
YKR106W	GEX2	chrXI:661442-663289
YKL197C	PEX1	chrXI:70734-73865
YKL152C	GPM1	chrXI:163642-164385
YKL093W	MBR1	chrXI:264789-265808
YKL080W	VMA5	chrXI:285030-286208
YKL185W	ASH1	chrXI:94499-96265
YKR081C	RPF2	chrXI:591506-592540
YKR035C	OPI8	chrXI:507920-508561
YKL101W	HSL1	chrXI:248920-253476
YKR008W	RSC4	chrXI:452201-454078
tW(CCA)K	tW(CCA)K	chrXI:302918-303023
YKL056C	TMA19	chrXI:334412-334915
YKL156W	RPS27A	chrXI:158613-159212
YKL162C	YKL162C	chrXI:147630-148838
YKL192C	ACP1	chrXI:80160-80537
YKR064W	OAF3	chrXI:562547-565138
YKL017C	HCS1	chrXI:405190-407241
YKL204W	EAP1	chrXI:53704-55602
YKL190W	CNB1	chrXI:82947-83550
YKL211C	TRP3	chrXI:36699-38153
YKL115C	YKL115C	chrXI:222893-223285
YKL107W	YKL107W	chrXI:236141-237070
YKL127W	PGM1	chrXI:203541-205253
YKL165C-A	YKL165C-A	chrXI:135790-136023
YKR049C	FMP46	chrXI:526830-527231
YKL052C	ASK1	chrXI:339668-340546
YKL053C-A	MDM35	chrXI:339182-339442
YKL121W	DGR2	chrXI:214142-216700
tN(GUU)K	tN(GUU)K	chrXI:74624-74697
YKL050C	YKL050C	chrXI:342852-345620
YKL194C	MST1	chrXI:77258-78646
YKR037C	SPC34	chrXI:510910-511797
YKL059C	MPE1	chrXI:328118-329443
YKL205W	LOS1	chrXI:50051-53353
YKL137W	CMC1	chrXI:185957-186292
YKR015C	YKR015C	chrXI:466961-468667
YKL146W	AVT3	chrXI:171783-173861
YKR003W	OSH6	chrXI:445381-446727
YKL028W	TFA1	chrXI:385758-387206
YKR010C	TOF2	chrXI:458924-461239
YKL193C	SDS22	chrXI:78866-79882
tK(CUU)K	tK(CUU)K	chrXI:202999-203071
YKL212W	SAC1	chrXI:34543-36414
YKL147C	YKL147C	chrXI:171551-172168
YKL054C	DEF1	chrXI:336537-338753
snR38	snR38	chrXI:283185-283279
YKR096W	ESL2	chrXI:626793-630380
YKL006C-A	SFT1	chrXI:430198-430632
YKL164C	PIR1	chrXI:141794-142819
YKL145W-A	YKL145W-A	chrXI:174958-175050
YKL026C	GPX1	chrXI:389380-389883
YKL044W	MMO1	chrXI:356322-356642
YKL089W	MIF2	chrXI:273394-275043
YKR077W	MSA2	chrXI:583653-584744
YKR095W-A	PCC1	chrXI:625864-626205
YKL079W	SMY1	chrXI:286603-288573
YKL161C	KDX1	chrXI:149386-150687
YKL159C	RCN1	chrXI:153816-154451
YKR030W	GMH1	chrXI:500282-501103
YKL037W	AIM26	chrXI:369365-369721
YKL042W	SPC42	chrXI:358475-359566
YKR020W	VPS51	chrXI:478338-478832
YKL012W	PRP40	chrXI:418310-420061
YKL106W	AAT1	chrXI:237536-238891
YKR075C	YKR075C	chrXI:579827-580750
YKR065C	PAM17	chrXI:565299-565892
YKL043W	PHD1	chrXI:356748-357848
YKL045W	PRI2	chrXI:353493-355079
YKR060W	UTP30	chrXI:556518-557342
YKL085W	MDH1	chrXI:279123-280127
YKL165C	MCD4	chrXI:137932-140691
YKL003C	MRP17	chrXI:437097-437492
YKL072W	STB6	chrXI:299582-301882
YKL177W	YKL177W	chrXI:114356-114694
YKL186C	MTR2	chrXI:92744-93298
snR64	snR64	chrXI:38811-38911
YKR032W	YKR032W	chrXI:506517-506831
YKL132C	RMA1	chrXI:193574-194866
YKL223W	YKL223W	chrXI:2389-2721
YKL078W	DHR2	chrXI:288845-291052
YKL001C	MET14	chrXI:438777-439385
YKR040C	YKR040C	chrXI:518063-518566
YKL046C	DCW1	chrXI:351275-352624
YKR017C	HEL1	chrXI:471694-473349
YKL058W	TOA2	chrXI:330166-330534
YKL208W	CBT1	chrXI:47157-47972
YKR005C	YKR005C	chrXI:448521-450167
YKR034W	DAL80	chrXI:506898-507707
YKL060C	FBA1	chrXI:326408-327487
YKL030W	YKL030W	chrXI:382498-383103
YKL162C-A	YKL162C-A	chrXI:145922-146074
YKR091W	SRL3	chrXI:611525-612265
YKL096C-B	YKL096C-B	chrXI:259073-259222
YKL171W	NNK1	chrXI:127475-130261
YKL025C	PAN3	chrXI:390240-392279
YKL023W	YKL023W	chrXI:393721-394554
tR(UCU)K	tR(UCU)K	chrXI:162487-162558
YKL215C	OXP1	chrXI:26827-30687
YKL136W	YKL136W	chrXI:186416-186814
YKL033W	TTI1	chrXI:375456-378572
YKR023W	YKR023W	chrXI:483419-485011
YKR067W	GPT2	chrXI:567918-570149
YKL098W	MTC2	chrXI:256770-257843
YKL114C	APN1	chrXI:223352-224455
YKL145W	RPT1	chrXI:174213-175616
YKL057C	NUP120	chrXI:330856-333969
YKL106C-A	YKL106C-A	chrXI:237147-237266
YKL128C	PMU1	chrXI:200884-201771
YKL008C	LAC1	chrXI:427295-428551
YKL029C	MAE1	chrXI:382716-384725
YKR047W	YKR047W	chrXI:525257-525562
YKL066W	YKL066W	chrXI:315281-315724
YKL119C	VPH2	chrXI:218570-219217
YEL041W	YEF1	chrV:75944-77431
YER011W	TIR1	chrV:175248-176012
YER158W-A	YER158W-A	chrV:491487-491702
snR53	snR53	chrV:61699-61789
YER056C-A	RPL34A	chrV:269423-270185
YEL067C	YEL067C	chrV:26189-26776
YEL054C	RPL12A	chrV:52721-53218
YEL047C	YEL047C	chrV:65385-66797
YER146W	LSM5	chrV:462585-462866
YER159C	BUR6	chrV:491530-491958
YER084W	YER084W	chrV:327065-327451
YER183C	FAU1	chrV:553334-553969
YEL009C-A	YEL009C-A	chrV:136371-136778
YEL059C-A	SOM1	chrV:42400-42624
YER172C	BRR2	chrV:529530-536021
YER092W	IES5	chrV:342855-343232
YEL008C-A	YEL008C-A	chrV:140726-140818
YEL032W	MCM3	chrV:86937-89852
YEL010W	YEL010W	chrV:136279-136629
YEL040W	UTR2	chrV:78053-79456
YEL059W	HHY1	chrV:42652-42960
YER105C	NUP157	chrV:367838-372013
YEL053C	MAK10	chrV:53901-56102
YEL046C	GLY1	chrV:67629-68792
YER137C	YER137C	chrV:441373-441819
YER013W	PRP22	chrV:178841-182278
YER147C-A	YER147C-A	chrV:465203-465613
YEL036C	ANP1	chrV:83050-84552
YER094C	PUP3	chrV:348729-349346
YER038C	KRE29	chrV:226858-228252
YEL034W	HYP2	chrV:85676-86149
YER144C	UBP5	chrV:457806-460223
YER069W	"ARG5,6"	chrV:295410-298001
YEL066W	HPA3	chrV:26667-27206
YER161C	SPT2	chrV:499347-500348
YER131W	RPS26B	chrV:423952-424311
YER027C	GAL83	chrV:208979-210232
tH(GUG)E2	tH(GUG)E2	chrV:434541-434612
YER088C-A	YER088C-A	chrV:335696-336019
YER002W	NOP16	chrV:156803-157498
YEL062W	NPR2	chrV:34407-36254
YEL074W	YEL074W	chrV:6126-6464
YER142C	MAG1	chrV:455146-456036
YER035W	EDC2	chrV:222639-223076
YER145C	FTR1	chrV:460526-461740
YER176W	ECM32	chrV:541690-545055
YER071C	TDA2	chrV:301947-302327
YER150W	SPI1	chrV:468370-468816
YER177W	BMH1	chrV:545611-546414
YER123W	YCK3	chrV:404813-406387
YEL018W	EAF5	chrV:121471-122310
YER116C	SLX8	chrV:395348-396172
YER043C	SAH1	chrV:235770-237119
YEL004W	YEA4	chrV:146951-147979
YER141W	COX15	chrV:453459-454919
YER170W	ADK2	chrV:525974-526651
YER047C	SAP1	chrV:243810-246503
YER132C	PMD1	chrV:425188-430449
YEL068C	YEL068C	chrV:25646-25978
YER080W	AIM9	chrV:319963-321846
YER052C	HOM3	chrV:256375-257958
YER070W	RNR1	chrV:298950-301616
YEL007W	MIT1	chrV:141892-143892
tE(UUC)E2	tE(UUC)E2	chrV:354934-355005
YER068C-A	YER068C-A	chrV:295301-295732
YER115C	SPR6	chrV:394292-394867
tS(AGA)E	tS(AGA)E	chrV:86604-86685
YER076C	YER076C	chrV:312590-313498
YEL021W	URA3	chrV:116167-116970
YEL026W	SNU13	chrV:101943-102323
YER040W	GLN3	chrV:229795-231987
YEL016C	NPP2	chrV:124737-126218
YER012W	PRE1	chrV:177835-178431
YER190W	YRF1-2	chrV:571480-576525
YER185W	PUG1	chrV:559454-560365
YER189W	YER189W	chrV:571155-571523
YEL060C	PRB1	chrV:40046-41953
YEL052W	AFG1	chrV:56571-58100
YER149C	PEA2	chrV:466208-467470
YER111C	SWI4	chrV:382595-385876
YER081W	SER3	chrV:322686-324095
YER010C	YER010C	chrV:172634-173338
YER018C	SPC25	chrV:191959-192624
YEL076C	YEL076C	chrV:4464-5114
YEL018C-A	YEL018C-A	chrV:121455-121988
YER072W	VTC1	chrV:302806-303195
YER093C	TSC11	chrV:343320-347612
YER178W	PDA1	chrV:546817-548079
YER030W	CHZ1	chrV:213437-213898
YER128W	VFA1	chrV:415859-416470
YER003C	PMI40	chrV:157736-159118
YER163C	GCG1	chrV:503084-503782
YEL005C	VAB2	chrV:145907-146755
YER173W	RAD24	chrV:536300-538279
YEL065W	SIT1	chrV:27657-29543
YEL055C	POL5	chrV:48471-51539
YER029C	SMB1	chrV:212587-213177
YER089C	PTC2	chrV:335946-337340
YER179W	DMC1	chrV:548421-549517
YEL011W	GLC3	chrV:133120-135234
YER166W	DNF1	chrV:512744-517459
YER061C	CEM1	chrV:278298-279626
YER082C	UTP7	chrV:324272-325936
YER118C	SHO1	chrV:397952-399055
YER152C	YER152C	chrV:472657-473988
YER107C	GLE2	chrV:373448-374545
YER020W	GPA2	chrV:195168-196517
YER125W	RSP5	chrV:410189-412618
YER122C	GLO3	chrV:402871-404352
YER038W-A	FMP49	chrV:228451-228831
YER057C	HMF1	chrV:270737-271126
YEL033W	MTC7	chrV:86179-86598
YER006W	NUG1	chrV:162723-164285
YER007W	PAC2	chrV:164527-166083
YER078W-A	YER078W-A	chrV:318646-318810
tA(UGC)E	tA(UGC)E	chrV:312023-312095
YEL002C	WBP1	chrV:148722-150014
YEL064C	AVT2	chrV:29797-31239
YER103W	SSA4	chrV:364589-366517
YER007C-A	TMA20	chrV:166237-166885
snR80	snR80	chrV:52150-52320
YER093C-A	AIM11	chrV:347912-348400
YER120W	SCS2	chrV:401135-401869
YER033C	ZRG8	chrV:218057-221287
YER054C	GIP2	chrV:262052-263698
tV(AAC)E2	tV(AAC)E2	chrV:469457-469530
YER164W	CHD1	chrV:505392-509798
YER139C	RTR1	chrV:450563-451243
snR52	snR52	chrV:431129-431220
YEL042W	GDA1	chrV:73771-75327
YER190C-A	YER190C-A	chrV:574804-575379
tS(UGA)E	SUP19	chrV:288443-288524
YER008C	SEC3	chrV:167808-171818
YER114C	BOI2	chrV:390590-393712
YER034W	YER034W	chrV:221846-222403
YEL008W	YEL008W	chrV:140512-140892
YER014W	HEM14	chrV:182600-184219
YER143W	DDI1	chrV:456319-457605
YER053C-A	YER053C-A	chrV:260933-261046
YER028C	MIG3	chrV:210692-211876
YER048C	CAJ1	chrV:246982-248157
YER044C	ERG28	chrV:237570-238016
YEL039C	CYC7	chrV:79636-79977
YER053C	PIC2	chrV:258737-259639
tQ(UUG)E1	tQ(UUG)E1	chrV:250286-250357
YEL034C-A	YEL034C-A	chrV:85613-86215
YER155C	BEM2	chrV:476345-482848
snR4	snR4	chrV:424698-424883
YER050C	RSM18	chrV:253971-254387
YER031C	YPT31	chrV:214076-214747
YER037W	PHM8	chrV:225889-226854
YEL049W	PAU2	chrV:63728-64090
tQ(UUG)E2	tQ(UUG)E2	chrV:131082-131153
YEL006W	YEA6	chrV:144327-145334
YER100W	UBC6	chrV:359562-360314
YER181C	YER181C	chrV:551473-551796
YER015W	FAA2	chrV:184541-186775
YER129W	SAK1	chrV:417281-420709
YER172C-A	YER172C-A	chrV:536275-536655
tR(UCU)E	tR(UCU)E	chrV:138666-138737
YEL072W	RMD6	chrV:13720-14415
YEL075C	YEL075C	chrV:5345-5713
YER048W-A	ISD11	chrV:250718-251002
YER051W	JHD1	chrV:254656-256134
YER171W	RAD3	chrV:527082-529418
YER078C	ICP55	chrV:316807-318342
YER169W	RPH1	chrV:523369-525759
YEL003W	GIM4	chrV:148176-148599
YEL077W-A	YEL077W-A	chrV:630-1112
YEL017C-A	PMP2	chrV:122798-122929
YER133W	GLC7	chrV:432495-433958
YER152W-A	YER152W-A	chrV:473485-474051
YER060W	FCY21	chrV:274567-276153
YER186C	YER186C	chrV:561705-562625
YER188W	YER188W	chrV:568040-568759
YEL045C	YEL045C	chrV:68840-69265
YER022W	SRB4	chrV:198812-200875
YER148W-A	YER148W-A	chrV:466185-466763
YER157W	COG3	chrV:484788-487193
YER014C-A	BUD25	chrV:183731-184700
YEL076C-A	YEL076C-A	chrV:4185-5114
YEL038W	UTR4	chrV:80462-81145
YER066W	RRT13	chrV:290242-290799
YER098W	UBP9	chrV:355466-357730
YEL035C	UTR5	chrV:85045-85545
RPR1	RPR1	chrV:117667-118035
YER063W	THO1	chrV:281710-282366
YER127W	LCP5	chrV:414481-415554
YER154W	OXA1	chrV:475020-476228
YER032W	FIR1	chrV:215063-217693
YER180C-A	SLO1	chrV:550865-551122
YEL071W	DLD3	chrV:16355-17845
tK(CUU)E2	tK(CUU)E2	chrV:435752-435824
YEL057C	SDD1	chrV:45020-45721
YEL069C	HXT13	chrV:21537-23231
YEL043W	YEL043W	chrV:70478-73348
YER096W	SHC1	chrV:351698-353236
YER017C	AFG3	chrV:189503-191788
YEL019C	MMS21	chrV:120498-121301
YER009W	NTF2	chrV:172115-172492
YER104W	RTT105	chrV:366802-367428
YER067W	RGI1	chrV:292066-292551
SCR1	SCR1	chrV:441987-442508
YER044C-A	MEI4	chrV:238460-239774
YER101C	AST2	chrV:360502-361794
YER121W	YER121W	chrV:402375-402719
YER019C-A	SBH2	chrV:194273-194539
tE(UUC)E1	tE(UUC)E1	chrV:177099-177170
YEL050C	RML2	chrV:59670-60851
YER062C	YER062C	chrV:279930-280682
YER006C-A	YER006C-A	chrV:164344-164661
YER016W	BIM1	chrV:188277-189311
YEL025C	YEL025C	chrV:102581-106147
YER024W	YAT2	chrV:202192-204963
YER023W	PRO3	chrV:201076-201936
YER079W	YER079W	chrV:318920-319552
YER136W	GDI1	chrV:439616-440971
YER151C	UBP3	chrV:469686-472424
YEL029C	BUD16	chrV:96858-97796
YER065C	ICL1	chrV:285241-286914
YEL050W-A	YEL050W-A	chrV:59549-59740
YER085C	YER085C	chrV:327619-328140
YER147C	SCC4	chrV:462968-464842
YER064C	VHR2	chrV:282705-284222
YER119C	AVT6	chrV:399496-400842
YEL020C-B	YEL020C-B	chrV:117183-117380
YER068W	MOT2	chrV:293050-294813
YER158C	YER158C	chrV:488857-490578
YER138W-A	YER138W-A	chrV:449474-449578
YER130C	COM2	chrV:421115-422446
YEL015W	EDC3	chrV:126629-128284
tK(CUU)E1	tK(CUU)E1	chrV:135425-135497
YER153C	PET122	chrV:474041-474805
YER137W-A	YER137W-A	chrV:441575-441880
YER113C	TMN3	chrV:387932-390052
YEL030W	ECM10	chrV:94644-96578
YER083C	GET2	chrV:326174-327031
YER167W	BCK2	chrV:518216-520771
YEL032C-A	YEL032C-A	chrV:87040-87201
YEL073C	YEL073C	chrV:7230-7553
tV(AAC)E1	tV(AAC)E1	chrV:438700-438773
YER005W	YND1	chrV:160550-162442
YER102W	RPS8B	chrV:363100-363702
YER046W	SPO73	chrV:243180-243611
YER023C-A	YER023C-A	chrV:201522-201734
YEL031W	SPF1	chrV:90258-93905
YER075C	PTP3	chrV:308413-311199
YER073W	ALD5	chrV:304030-305592
YEL027W	VMA3	chrV:100769-101251
YEL024W	RIP1	chrV:107260-107907
YER049W	TPA1	chrV:251728-253662
YER175W-A	YER175W-A	chrV:540650-540814
YEL037C	RAD23	chrV:81407-82603
YER134C	YER134C	chrV:437267-437803
YER088C	DOT6	chrV:333176-335188
YER175C	TMT1	chrV:539464-540363
tG(GCC)E	tG(GCC)E	chrV:61890-61960
YER021W	RPN3	chrV:196948-198519
YER004W	FMP52	chrV:159580-160275
YER087C-A	YER087C-A	chrV:331817-332368
YEL017W	GTT3	chrV:123657-124670
YER106W	MAM1	chrV:372326-373234
YER066C-A	YER066C-A	chrV:291703-292203
YER117W	RPL23B	chrV:396769-397653
YER145C-A	YER145C-A	chrV:462386-462823
YER076W-A	YER076W-A	chrV:313390-313737
YER187W	YER187W	chrV:566230-566655
snR14	snR14	chrV:167427-167586
YER046W-A	YER046W-A	chrV:243700-244029
YER168C	CCA1	chrV:521029-522669
YER124C	DSE1	chrV:407342-409063
SRG1	SRG1	chrV:322212-322762
YER095W	RAD51	chrV:349980-351182
YEL028W	YEL028W	chrV:98668-99129
YER045C	ACA1	chrV:240032-241501
YER088W-B	YER088W-B	chrV:335927-336073
YER086W	ILV1	chrV:328477-330207
YER188C-A	YER188C-A	chrV:569608-569907
YER148W	SPT15	chrV:465303-466025
YEL022W	GEA2	chrV:111421-115800
YEL001C	IRC22	chrV:150301-150978
YER056C	FCY2	chrV:266512-268113
YER087C-B	SBH1	chrV:332582-332830
YEL013W	VAC8	chrV:128825-130561
YER074W	RPS24A	chrV:306323-307196
tE(UUC)E3	tE(UUC)E3	chrV:487331-487402
YER133W-A	YER133W-A	chrV:437191-437532
YER119C-A	YER119C-A	chrV:400867-401238
YEL063C	CAN1	chrV:31694-33466
YEL051W	VMA8	chrV:58378-59148
YER190C-B	YER190C-B	chrV:575680-576162
YEL061C	CIN8	chrV:36535-39537
YER059W	PCL6	chrV:272624-273886
YER091C-A	YER091C-A	chrV:342390-342611
YER140W	EMP65	chrV:451565-453235
YEL056W	HAT2	chrV:47168-48373
YER084W-A	YER084W-A	chrV:327598-328110
YER036C	ARB1	chrV:223367-225199
YEL009C	GCN4	chrV:138918-139763
YER079C-A	YER079C-A	chrV:319902-320240
YEL053W-A	YEL053W-A	chrV:52908-53255
tM(CAU)E	IMT4	chrV:100133-100204
YEL030C-A	YEL030C-A	chrV:94583-94897
YEL014C	YEL014C	chrV:128303-128608
YER156C	YER156C	chrV:483325-484341
YER162C	RAD4	chrV:500630-502894
YER090W	TRP2	chrV:337949-339472
YER074W-A	YOS1	chrV:307653-308123
YER041W	YEN1	chrV:232461-234740
YER165C-A	YER165C-A	chrV:512627-512983
YER097W	YER097W	chrV:355140-355469
YER112W	LSM4	chrV:387232-387795
YER090C-A	YER090C-A	chrV:338322-338411
YER067C-A	YER067C-A	chrV:292240-292563
snR67	snR67	chrV:61352-61433
tH(GUG)E1	tH(GUG)E1	chrV:207357-207428
YER174C	GRX4	chrV:538434-539168
YER107W-A	YER107W-A	chrV:374394-374714
YER026C	CHO1	chrV:207644-208474
YER099C	PRS2	chrV:358105-359061
YEL048C	TCA17	chrV:64709-65167
YEL070W	DSF1	chrV:19589-21097
YER025W	GCD11	chrV:205251-206834
YEL075W-A	YEL075W-A	chrV:4870-5481
YER126C	NSA2	chrV:413394-414179
tI(AAU)E1	tI(AAU)E1	chrV:443202-443275
YER182W	FMP10	chrV:552525-553259
YER165W	PAB1	chrV:510373-512106
YEL058W	PCM1	chrV:43252-44925
YER060W-A	FCY22	chrV:276572-278164
YER184C	TOG1	chrV:556296-558680
YEL012W	UBC8	chrV:131772-132551
YEL020W-A	TIM9	chrV:117211-117474
YER077C	MRX1	chrV:314534-316600
YER039C	HVG1	chrV:228456-229205
YER042W	MXR1	chrV:234937-235491
YER019W	ISC1	chrV:192797-194230
YER039C-A	YER039C-A	chrV:229263-229481
YER058W	PET117	chrV:271768-272091
YER110C	KAP123	chrV:378762-382103
YER135C	YER135C	chrV:437952-438344
YEL023C	YEL023C	chrV:108504-110552
YEL077C	YEL077C	chrV:264-4097
tI(AAU)E2	tI(AAU)E2	chrV:551285-551358
YER001W	MNN1	chrV:153520-155808
YEL020C	PXP1	chrV:118617-120299
YEL044W	IES6	chrV:69757-70257
YER180C	ISC10	chrV:549724-550527
YER087W	AIM10	chrV:330576-332306
YER055C	HIS1	chrV:264892-265785
tR(ACG)E	tR(ACG)E	chrV:492352-492424
YER091C	MET6	chrV:339864-342167
YER138C	YER138C	chrV:443756-449024
YER137C-A	YER137C-A	chrV:447702-449024
YER159C-A	YER159C-A	chrV:496802-498124
YER160C	YER160C	chrV:492856-498124
YHR094C	HXT1	chrVIII:290913-292625
YHL031C	GOS1	chrVIII:38815-39486
YHL002W	HSE1	chrVIII:102612-103970
YHR219C-A	YHR219C-A	chrVIII:561199-561681
YHR045W	YHR045W	chrVIII:195551-197233
YHR084W	STE12	chrVIII:274174-276240
YHR126C	ANS1	chrVIII:359702-360181
tS(AGA)H	tS(AGA)H	chrVIII:133026-133107
YHR125W	YHR125W	chrVIII:358858-359163
YHR206W	SKN7	chrVIII:512732-514600
YHR097C	YHR097C	chrVIII:297385-298609
YHR005C-A	TIM10	chrVIII:115620-115901
YHR193C-A	YHR193C-A	chrVIII:488653-489027
YHR007C	ERG11	chrVIII:120091-121683
YHR214C-D	YHR214C-D	chrVIII:550648-550941
YHR212W-A	YHR212W-A	chrVIII:538742-538945
YHR184W	SSP1	chrVIII:472744-474459
YHR132C	ECM14	chrVIII:368502-369794
YHR182C-A	YHR182C-A	chrVIII:470939-471412
YHR025W	THR1	chrVIII:159438-160511
YHR055C	CUP1-2	chrVIII:214533-214718
YHR073W	OSH3	chrVIII:242582-245572
YHL015W-A	YHL015W-A	chrVIII:74699-74782
YHR064C	SSZ1	chrVIII:225525-227141
YHL041W	YHL041W	chrVIII:17392-17841
YHR143W	DSE2	chrVIII:385510-386487
YHR052W-A	YHR052W-A	chrVIII:212510-212704
YHL047C	ARN2	chrVIII:8351-10213
YHR175W-A	YHR175W-A	chrVIII:453558-453707
YHR003C	TCD1	chrVIII:110028-111317
YHL032C	GUT1	chrVIII:36379-38508
YHR154W	RTT107	chrVIII:402966-406178
YHR031C	RRM3	chrVIII:170799-172970
YHL042W	YHL042W	chrVIII:15667-16119
YHR022C-A	YHR022C-A	chrVIII:151217-151306
YHR180C-B	YHR180C-B	chrVIII:466958-467062
YHR106W	TRR2	chrVIII:325598-326626
YHR186C	KOG1	chrVIII:475999-480672
YHL029C	OCA5	chrVIII:45929-47968
YHR048W	YHK8	chrVIII:204607-206151
YHR039C-A	VMA10	chrVIII:187173-187679
YHR073W-A	YHR073W-A	chrVIII:242868-243044
YHR035W	NEL1	chrVIII:178219-180111
YHR165C	PRP8	chrVIII:429707-436948
YHL006C	SHU1	chrVIII:98343-98795
YHL025W	SNF6	chrVIII:54851-55849
YHR172W	SPC97	chrVIII:448335-450806
YHR002W	LEU5	chrVIII:108812-109885
YHR016C	YSC84	chrVIII:136881-138455
RUF5-2	RUF5-2	chrVIII:214407-215116
YHR079C	IRE1	chrVIII:258244-261591
YHR169W	DBP8	chrVIII:442181-443476
YHR054C	YHR054C	chrVIII:213185-214249
YHR065C	RRP3	chrVIII:227532-229037
YHR088W	RPF1	chrVIII:281495-282382
tH(GUG)H	tH(GUG)H	chrVIII:62755-62826
YHR093W	AHT1	chrVIII:289142-289690
